glyph_hash|font_name|GlyphName|unicode_hex|AGL_name
0134016dae500fb5c9acc526986fd163|BGCHDG+Arial026.688|G50|0032|two
0136b7376b110a5d3107a473c1204a3f|ALNHCJ+Arial034.563|G62|003e|greater
0137117f532743fddfaf96babb16e290|BFMOBK+Arial.kurz.va062.5|G46|002e|period
01387d54cc517a818adfe0f3835bf773|ALIPFM+Arial.tu.n..kurz.va050|G248|0159|rcaron
013906fcc3f805c5700f81c9e696eead|ACEECN+Arial.tu.n.0141.625|G66|0042|B
013a8d41966d08614716011d0c234b98|DLJDBE+Arial.tu.n.0235.125|G122|007a|z
01455f2528c9bd74ceb7efe9e97668ff|AEDLOF+Arial.kurz.va058.313|G41|0029|parenright
014705564dbcfa0423ccd43b3245538b|AEGMLG+Arial.tu.n.037.5|G205|00cd|Iacute
014811d0de44dd7c83c3a5a22118ea0a|ADEFHP+Arial.tu.n.025|G78|004e|N
01481d3b67fbb9effcfb02e739059db5|AOJOAN+Arial.tu.n.0400|G232|010d|ccaron
01560beed577cd7a56e8b9943ed1d9f2|AOKJAA+Lucida.Console0266.688|G112|0070|p
01577e536a26a3a2eda487923154fefb|CLPDJE+HelveticaInseratTTEE0166.625|G63|003f|question
015b4538b6e45af8638278888214e397|DCHOFG+Times.New.Roman037.5|G73|0049|I
015cfc3d785862c8c072a71eb280b3c0|BGCKGG+Arial77.250|G20|0031|one
01643c93a60b8eb445373ccba1c0b15b|DLIJNH+Arial0199.875|G54|0036|six
0164c58c7dd1c4e7184bd256947fa952|EHFIHF+Arial.tu.n.0187.438|G236|011b|ecaron
01651ea3acda54f0535fb98359bc7a4c|DHDOPI+Arial.kurz.va026.688|G101|0065|e
016741640b8056f48ac62459585e7253|CFMLAF+HelveticaInseratTTEE058.313|G47|002f|slash
016914deab8be6195dd1475dbf4a7ca0|AOKELH+Arial.tu.n.0466.625|G102|0066|f
016dd06d48b2f7ba385e0750c32ed0b8|ACJBOE+Arial.tu.n.066.625|G158|017e|zcaron
016ea534367dc615815a4c4b29bcfe59|CONCDH+Wingdings.3037.5|G144|2193|arrowdown
017109105e8e38b6e1b878d845b013d7|CBMGKF+Arial023.313|G120|0078|x
0171c583581ed44885ef65edda5b5d53|AGLOFP+Arial.tu.n.0188.125|G232|010d|ccaron
0174050fc67f0ec6f57daab9c02434d9|BKDLLB+Lucida.Console032.063|G116|0074|t
0176c1ff901942b73a66fa067a51bae4|ENAAMD+Arial0317.5|G108|006c|l
01776dc5d05ba29259aeda814e4c01eb|FCNHKI+Arial079.188|G86|0056|V
017b2b86d66bf5c2822ef055668795af|DPCBDO+Courier.New029.188|G68|0044|D
017b3b1024f1f6433443149e1bfa62ef|AMLBMF+Arial083.313|G80|0050|P
017cfa1c22480426b75080a37b8afa99|EMPAHP+Arial.tu.n.037.5|G248|0159|rcaron
017d81aa96c294e9181e2809a7aafb66|BKLJPF+Arial.tu.n.0388.063|G82|0052|R
017d9a2dd850afaed6c589b0a4946193|AGKGBE+Arial.tu.n.035|G82|0052|R
