glyph_hash|font_name|GlyphName|unicode_hex|AGN
33a070e05eefa8b31225115f84274ad5|GKCMAE+Arial068.313|G100|0064|d
3d69eccf358656287b44c01c84c6d361|GKCMAE+Arial068.313|G101|0065|e
50ff485ad8fc3c238988bffd834f0347|GKCMAE+Arial068.313|G102|0066|f
62dde4537af9659d6836f25f6d19fb3d|GKCMAE+Arial068.313|G103|0067|g
40234635c543ba75e269cbc5c2290abe|GKCMAE+Arial068.313|G104|0068|h
37d2d92b5ccdc4bac6924f6fc9c27b49|GKCMAE+Arial068.313|G105|0069|i
4c15f45018c17763b6281a555dc4d44a|GKCMAE+Arial068.313|G106|006a|j
7b32c0113b99175d94f3f6f98c3a119d|GKCMAE+Arial068.313|G107|006b|k
4816cb347777c1b6e87ae2f41f8178bf|GKCMAE+Arial068.313|G108|006c|l
89bfc5869acc8d403104b039d6b89680|GKCMAE+Arial068.313|G109|006d|m
1161bce1a622599892ed713df591b5b5|GKCMAE+Arial068.313|G110|006e|n
d408bbfad0bbec40885481f2c0fa382d|GKCMAE+Arial068.313|G111|006f|o
9580124a27f598e7e0e17ed16889fa44|GKCMAE+Arial068.313|G112|0070|p
a3ecaaf8677f340ec3f7f4e7fa0a652c|GKCMAE+Arial068.313|G114|0072|r
f82771446541e6a469812f65b1fa7386|GKCMAE+Arial068.313|G115|0073|s
e26098b5319e33bad04868f6e99f4461|GKCMAE+Arial068.313|G116|0074|t
b62d8cfe107e987595292b91635dd2f9|GKCMAE+Arial068.313|G117|0075|u
6b758612540e7a71e12ba5230f9f263c|GKCMAE+Arial068.313|G118|0076|v
a2dc50b14add587ae002c421d07cd46a|GKCMAE+Arial068.313|G119|0077|w
7582f549e2229d1d7eb74b021fdad9bc|GKCMAE+Arial068.313|G120|0078|x
acfd5f7fd94a7c3992fa4eac6c7cb9fd|GKCMAE+Arial068.313|G121|0079|y
d7b8e6fc6431d6baf2d3c1cecd08a7af|GKCMAE+Arial068.313|G122|007a|z
9970f3247f5b8c3b87ef018f24ca2688|GKCMAE+Arial068.313|G132|201e|quotedblbase
fb7391d177fceb120a86e2b60dc00b8b|GKCMAE+Arial068.313|G138|0160|Scaron
38daa9a7a520dc8f341dc7ef3359c32c|GKCMAE+Arial068.313|G147|201c|quotedblleft
336a4cd7d45dc560991d766dd527938b|GKCMAE+Arial068.313|G154|0161|scaron
78dd16a6dd8cb4a012f2710cce631eb4|GKCMAE+Arial068.313|G157|0165|tcaron
238afef6b86ce743ee52efb50f0b6f26|GKCMAE+Arial068.313|G158|017e|zcaron
12189cfa92774a38cc766676a3f5976e|GKCMAE+Arial068.313|G200|010d|ccaron
aba9df946edf54f90feda1edc3b11454|GKCMAE+Arial068.313|G216|0158|Rcaron
396a47486ab4751a03285081e3e1e155|GKCMAE+Arial068.313|G218|00da|Uacute
7441c33e894b5292d56223c23136a621|GKCMAE+Arial068.313|G225|00e1|aacute
00a054f03fb1e27f5096319d0efd7e02|GKCMAE+Arial068.313|G232|010d|ccaron
854b0132118d1901655b6dd0876b2396|GKCMAE+Arial068.313|G233|00e9|eacute
7d8f39d20699045b2036bb65728ed95f|GKCMAE+Arial068.313|G236|011b|ecaron
b2d88af29127acd28f5ef1d354d87adc|GKCMAE+Arial068.313|G237|00ed|iacute
57cc3cde86604a376c3203f73b8ece55|GKCMAE+Arial068.313|G242|0148|ncaron
fd8496ee164e18b4491d73b8b5040343|GKCMAE+Arial068.313|G243|00f3|oacute
d30709f7ae9f34b8d489f274d951e01e|GKCMAE+Arial068.313|G248|0159|rcaron
4c635842bb0dbde80cd2a560489fab12|GKCMAE+Arial068.313|G249|016f|uring
63bfe072ae793670a8ad9f75c467e7b2|GKCMAE+Arial068.313|G250|00fa|uacute
64846ef09fed747a627f7cb3f9a6aab3|GKCMAE+Arial068.313|G253|00fd|yacute
